order_id,product_id,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,summary,review,user_id,order_status,order_purchase_timestamp,zip_code,city,state,product_category,product_number,average_rating,user_number
4ece3211dc7b96c8b646fa8a727039e2,002ec297b1b00fb9dde7ee6ac24b6771,16,7.39,1,boleto,1,23.39,7d12e1d838a7ba25e9d41bb48898a890,4,Nice Picks,"Nice picks.  A bit small for my preference.  Great for picking, kind of harsh for strumming,  Quality seems top-notch.  Some guitarists will love these.",083d0767ee04f4a01cc28835dc32d6b4,delivered,07-04-2018 19:57,8490,sao paulo,SP,housewares,1,1,1
9879baaf933b4e1db31859e7118586b8,004154251837f6ac124ad4374b3a8148,14.9,12.48,1,credit_card,2,27.38,9e96e689ed29ef49d22e6e837da4e606,5,Great Cymbal for the Money !!,I was looking for a thin crash on a budget and I gave this company a try and I couldnt be more happy..I had reservations at first but when I installed it on my set and used it today I was very surprised.. It hasa great hissing crash that lingers a bit as a much more expensive cymbal would have.  This companyputs out a good cymbal and I have a combination of all of the top line names on my set.,b39feda4f2e90009f91eca6052e7a807,delivered,23-10-2017 18:17,86930,sao joao do ivai,PR,furniture_decor,1,1,2
991bec1822c6466e1a18fbe592a034b0,0044d70d4e53450c0fbb8255446a797b,19.25,26.89,1,boleto,1,46.14,58495aca849c8da206fb9c65d8e837db,5,EXCELENT SUPER CLEAN SOUND,"This is an amazing amp. It works great, a lot of power, a little bit heavy for it's size but it is simply a beauty. I play a godin a6 ultra and the The sound of this amp is so clean that i can play my acoustic and my electric trough this amp and both sounds perfect. Even the acoustic sound is majestic. this amp adapts to any need you have, from the cleanest sound to the heaviest distorted sound.",fcfb42393d756d2101104011a3d81c95,delivered,16-02-2018 11:03,71963,brasilia,DF,sports_leisure,1,1,3
4251201dadd2e046f3ee0f0e31152cb0,005030ef108f58b46b78116f754d8d38,13.99,7.78,1,credit_card,1,21.77,dfcb24c3e2db39d412b82ce10ae0b462,5,3 pin male to 1/4 inmale adapter,It is exactly as represented. It does a fine job. I have used it in recording live band practice sessions. I would if necessary purchase this item again.,1bda6f8193ada79f892c00b0c72cecb8,delivered,17-01-2018 14:39,1451,sao paulo,SP,perfumery,2,1,4
b2976bc0899d6eb3fbaa0255ee3a000b,005030ef108f58b46b78116f754d8d38,13.99,14.1,1,credit_card,2,28.09,386e4e5d4f836e39522f01677a0e0d8f,5,"Soft, comfy and effective","I like these picks for use with my ukulele, it makes strumming a lot easier on these old hands of mine. It sounds exactly like the sound you make while strumming with your fingers, and they seem to be sturdy enough to last awhile. A worthwhile buy for tired fingers :-)",29fe5f83647b7191e6517bd11dad886e,delivered,24-11-2017 15:52,91910,porto alegre,RS,perfumery,3,1,5
6d3e3e287e00339a15d1b86b209121e7,005030ef108f58b46b78116f754d8d38,13.99,14.1,1,credit_card,2,28.09,b97562fe0b16092ed5ca5ae6f8d3bc86,2,Overselling...,"I should have read the reviews carefully - it's definitely something different, but not sturdy at all, rubber bits come off as you strum, and there are complaints of skid marks on strings and fingers. Ouch! I'm much happier with my Friday the 13th glow-in-the-dark picks - that is an experiment that worked!And who cares about hard pick sounds anyway? If you want something that sounds like your fingers strumming, why don't you use&#8230; your fingers?",3c22754a609d713c7233bb5037b77923,delivered,18-11-2017 12:29,74890,goiania,GO,perfumery,4,1,6
7b27a51bf1d8aaca78c04ecaf7118e88,005030ef108f58b46b78116f754d8d38,13.99,14.1,1,credit_card,1,28.09,52ef6c1bcc7b29360de56edb39b2afcc,5,Perfect Compliment...,This is a perfect compliment to my current set up. I needed a desktop stand for voice overs when my usual recording set up wouldn't do the trick. This stand is sturdy and worked perfectly. A great buy as the price was perfect as well.,62ce8efec406efb1619b3cdb6157f011,delivered,03-02-2018 21:32,91040,porto alegre,RS,perfumery,3,1,7
084dc35511ef0934cbe4f52d6b1e17ed,005030ef108f58b46b78116f754d8d38,13.99,7.39,1,boleto,1,21.38,1e2ef262bf03f09f5adecd789125ee98,5,Finally,"At last I got this mic after doing about a month of homework on which condenser mic to go for. If you're debating between the Blue Yeti, Snowball, Samson C01U, and this mic, there are plenty of reviews on youtube and google. At2020 was the most common one that people liked regarding affordability and sound quality.",7f04bae0255c12792d4f1e345db66077,delivered,16-05-2018 22:07,12233,sao jose dos campos,SP,perfumery,3,1,8
2bc420de7e8e4174fd5c88b692c2cdaf,005030ef108f58b46b78116f754d8d38,13.99,7.39,1,credit_card,1,21.38,3be8f8db4a1b403413926920253511d7,5,Super nice.,"Picked up some Blue Steel lite stings and some brass abalone pins to enhance tone. Also was the last to pick it up for $118.50 shipped to my door. If you like a parlor guitar, this might be for you. The case is kick ass too, easily a $50 value.Update: After putting on the brass pins and adding a snark tuner, along with putting on new strings, this guitar rocks. Putting the brass pins keeps it from being too top heavy and helps to improve tone. This is my go-to guitar. Sounds good and has great intonation. The only fore-seeable upgrade would be to get closed geared tunners but the open geared work fine and hold tunning. I have a washburn D-30 and love this just as much for 1/3 the cost.",9fc2d593b91e86741a67c7da20f0ba0e,delivered,05-04-2018 14:54,18055,sorocaba,SP,perfumery,3,1,9
468196883cd3a3d826387fe94c67c92b,005030ef108f58b46b78116f754d8d38,13.99,21.15,1,boleto,1,35.14,bbda519729a908ede639c1e70df060e7,5,Beautiful!,This pedal is very nice. It looks much more expensive than the actual price and works great. You can just plug it into your keyboard and play. It works very well.,a4fa643f7d9de9a32083b61cc0c362e3,delivered,20-02-2018 10:41,64017,teresina,PI,perfumery,4,1,10
